cik,cusip6,cusip9
0000000020,482730,482730108
0000000020,730108,730108
0000001750,000361,000361105
0000001750,361105,36110513
0000001750,58471A,58471A105
0000001923,037881,03788106
0000001961,98159J,98159J101
0000002062,004616,004616207
0000002062,461620,46162071
0000002098,004816,004816104
0000002135,008190,008190100
0000002135,008190,008190101
0000002135,053495,053495305
0000002135,486250,48625010
0000002230,006212,006212104
0000002310,001725,001725100
0000002310,001725,001725101
0000002310,625440,625440101
0000002488,007903,007903107
0000002601,007768,007768104
0000002648,008140,008140100
0000002648,008140,008140105
0000002648,677415,677415705
0000002969,009158,009158106
0000003000,009266,00926610
0000003000,009266,009266101
0000003000,009266,009266107
0000003000,009269,009269101
0000003116,009728,009728106
0000003124,101993,101993051
0000003197,125141,125141101
0000003202,011659,011659109
0000003303,012348,012348108
0000003327,013068,013068200
0000003327,016068,016068101
0000003370,013788,013788104
0000003370,451713,451713101
0000003449,014476,014476105
0000003453,014482,014482103
0000003499,528981,52898108
0000003545,016230,016230104
0000003545,040712,040712101
0000003545,470359,470359100
0000003570,16411R,16411R208
0000003570,880915,880915103
0000003673,017361,017361106
0000003673,017411,017411109
0000003721,018091,018091108
0000003941,019411,01941107
0000003941,019411,019411107
0000003952,019118,019118108
0000004127,020753,020753101
0000004127,83088M,83088M102
0000004164,020825,02082510
0000004164,020825,020825105
0000004187,456314,456314103
0000004281,013817,013817101
0000004281,022249,022249100
0000004281,022249,022249106
0000004310,022615,022615101
0000004310,022615,022615108
0000004310,811211,811211
0000004427,023905,023905102
0000004447,023551,023551104
0000004447,42809H,42809H107
0000004611,245911,245911091
0000004672,024763,024763104
0000004904,025537,025537101
0000004977,001055,001055102
0000005016,026087,026087874
0000005103,026511,02651106
0000005115,92113B,92113B106
0000005133,026375,026375100
0000005133,026375,026375105
0000005133,263751,263751051
0000005385,027258,027258101
0000005405,027339,027339209
0000005513,91529Y,91529Y106
0000005611,31734L,31734L100
0000005611,31734L,31734L101
0000005656,02687C,02687C109
0000006071,030789,030789507
0000006176,032037,032037103
0000006201,001765,001765106
0000006260,032371,032371101
0000006260,032375,032375101
0000006260,032375,032375107
0000006260,3237E1,3237E108
0000006281,032654,032654101
0000006284,032657,032657207
0000006314,327441,327441041
0000006383,033501,033501107
0000006383,61945R,61945R100
0000006571,034663,034663104
0000006720,428732,428732104
0000006769,037411,037411101
0000006769,037411,037411105
0000006845,037598,037598109
0000006845,290921,290921105
0000006879,037735,037735867
0000006885,000852,00085254
0000006885,85254C,85254C10
0000006885,85254C,85254C107
0000006885,85254C,85254C305
0000006948,038213,038213104
0000006948,382131,382131041
0000006951,038222,038222101
0000006951,038222,038222105
0000006955,00508X,00508X203
0000006955,038225,038225108
0000007084,039483,039483102
0000007302,040790,040790107
0000007323,29364D,29364D837
0000007332,845467,845467109
0000007431,042384,042384107
0000007431,042476,042476100
0000007431,042476,042476101
0000007536,042735,042735100
0000007645,000205,000205010
0000007649,043413,043413101
0000007649,043413,043413103
0000007789,045487,045487105
0000007789,563571,563571108
0000007951,770609,770609105
0000008063,046433,046433108
0000008063,049904,049904195
0000008065,046465,046465100
0000008117,047483,047483102
0000008146,04638F,04638F101
0000008146,04638F,04638F108
0000008302,68232E,68232E
0000008411,050095,050095101
0000008462,051042,051042101
0000008497,04621M,04621M102
0000008504,292758,292758109
0000008670,053015,053015103
0000008699,042167,042167106
0000008802,053555,053555108
0000008818,053611,053611109
0000008858,053807,053807
0000008858,053807,053807103
0000008858,538071,538071031
0000008868,054303,054303102
